Year,a8,a9,a10,a11,a12,a13,a14,a15,a16,a17,a18,a19,a20,Et
1967,211308,375722,341843,211958,259713,140778,94341,71888,55225,25558,18344,11806,10590,547798
1968,169887,180397,283797,216081,138895,160262,87386,63821,49326,29880,14934,8795,5511,470830
1969,344660,201074,186684,281016,221147,147306,140792,69472,55381,44241,23624,13669,7831,607806
1970,187480,373633,179187,159899,211099,148782,101970,88937,47476,30580,23129,17852,10473,589115
1971,237872,204121,301536,122785,108078,119164,83786,66944,42005,25199,16413,11017,6438,521222
1972,206106,197958,165899,236469,89241,91110,67538,50948,32778,22633,0.10726,8578,6355,530470
1973,91745,118215,127814,106123,134494,58111,47121,45082,28388,14599,14532,6228,6378,489316
1974,50040,63755,72696,72567,57979,72737,26682,25649,26287,15066,8249,6373,3789,341612
1975,70835,92406,97279,91138,89150,53473,68700,23339,23749,19549,11934,5582,5953,435696
1976,87683,106198,99257,84334,78954,55986,43557,44997,14668,14666,11043,6588,4165,510134
1977,59415,79991,89188,60629,58086,49360,36702,26665,26545,10050,7954,4391,3359,363062
1978,71040,75358,79858,67575,56331,37835,32958,23957,17309,10027,5866,3361,3889,326835
1979,61451,88345,85477,74907,67440,41731,35525,22948,18233,10270,6425,3121,3146,318251
1980,70474,77111,97831,83617,71325,49961,39498,26984,20232,13333,10689,6701,4837,243137
1981,75358,109754,95416,105240,79380,58337,41648,26108,19072,14129,10615,4398,5049,222329
1982,63386,114577,117243,95894,92319,63386,44267,25489,16848,14487,7332,6601,3112,236985